"Story","Title","Result","Date","Stability","Duration (s)"
"Login test","Test blank email","SUCCESS","2015-08-28T17:30:01.122+03:00","0.0","22.83"
"Login test","Test go to the forgot password","PENDING","2015-08-28T17:30:23.952+03:00","0.0","0.0"
"Login test","Test incorrect email","ERROR","2015-08-28T17:31:10.192+03:00","0.0","13.04"
"Login test","Test invalid email","SUCCESS","2015-08-28T17:30:46.395+03:00","0.0","23.18"
"Login test","Test valid login","SUCCESS","2015-08-28T17:30:24.298+03:00","0.0","21.68"
