"Story","Title","Result","Date","Stability","Duration (s)"
"Login test","Test go to the forgot password","PENDING","2015-08-28T17:30:23.952+03:00","0.0","0.0"
"Registration test","Test valid registration","PENDING","2015-08-28T17:31:24.241+03:00","0.0","0.0"
